pickup_location,destination_location,num_stops,distance_km,duration_min,actual_eta_min,weather,time_of_day,traffic_level
Johnland,Garyhaven,1,164.85,221.4,225.44,Cloudy,Morning,Moderate
West Andres,Port Mary,0,342.0,495.95,452.98,Rainy,Afternoon,Heavy
North Michael,Taylorville,3,201.96,221.85,209.5,Rainy,Night,Moderate
New Crystal,Stacyshire,1,252.4,258.6,234.58,Rainy,Night,Heavy
Adamsport,Carlport,2,124.91,183.16,193.23,Cloudy,Evening,Light
South Kathleen,Santiagoberg,0,242.58,323.65,323.99,Foggy,Night,Moderate
Turnerland,Port Brian,2,453.97,520.66,493.92,Foggy,Evening,Heavy
West Kevin,New Tiffanychester,0,471.67,492.74,478.9,Foggy,Morning,Light
Ashleyborough,West Shannonview,0,288.36,388.28,402.39,Rainy,Night,Heavy
Brownside,Cruzchester,2,102.78,116.9,117.91,Rainy,Afternoon,Light
Franklinstad,Mendozashire,3,458.53,489.58,458.0,Clear,Morning,Moderate
New David,West Christianmouth,2,255.85,322.5,312.97,Cloudy,Morning,Heavy
Jeremyfort,Rayfurt,2,174.55,185.96,192.17,Cloudy,Night,Light
Hendersonshire,Xavierchester,3,96.95,143.32,134.98,Rainy,Evening,Moderate
South Zachary,North Troyside,2,482.19,675.59,644.04,Cloudy,Evening,Heavy
Lake Joshua,North Molly,1,143.36,145.6,149.75,Foggy,Afternoon,Moderate
West Briannaport,Carlosberg,2,289.89,423.74,433.26,Cloudy,Night,Heavy
East Ryanshire,Philipfurt,0,426.96,461.81,453.85,Foggy,Morning,Light
Combston,West Blake,2,357.3,445.7,423.58,Clear,Morning,Heavy
Phillipsside,South Erikshire,3,237.22,250.41,249.91,Rainy,Morning,Heavy
West Shannon,Grimesshire,3,207.25,263.65,238.35,Foggy,Night,Heavy
Jameshaven,Andrewstad,0,367.75,497.33,474.21,Foggy,Afternoon,Moderate
North Sheribury,Alvarezberg,0,488.18,699.97,689.9,Rainy,Afternoon,Moderate
Davidville,Basshaven,2,208.63,311.81,302.05,Clear,Evening,Heavy
New Michaelbury,Crystalberg,2,174.12,203.82,198.08,Cloudy,Morning,Heavy
West Mario,North Thomasshire,3,382.6,454.09,446.05,Rainy,Night,Light
Brownfurt,Port Lisamouth,3,396.53,440.48,403.79,Foggy,Evening,Light
Lake Gerald,East Kimmouth,2,54.49,68.15,69.2,Clear,Evening,Light
Jasonmouth,West Amandastad,3,399.61,401.64,419.2,Cloudy,Night,Heavy
North Sandra,Port John,1,381.67,458.55,496.74,Rainy,Night,Heavy
Smithfurt,Danabury,1,273.13,275.98,260.21,Cloudy,Morning,Light
New Kelly,New Emilyhaven,3,454.22,624.95,594.76,Rainy,Night,Moderate
Angelafort,North Courtneyport,2,497.57,535.5,572.69,Clear,Evening,Light
Port Melanie,Karahaven,0,467.77,607.58,570.35,Cloudy,Afternoon,Heavy
Taraport,Lake Christopher,1,24.4,25.41,25.09,Clear,Afternoon,Heavy
Williamland,Reynoldsburgh,2,470.97,668.98,633.85,Rainy,Night,Moderate
Heathershire,Griffinburgh,3,441.36,487.43,462.23,Cloudy,Evening,Moderate
South Jamesbury,North Donna,0,464.35,524.92,496.0,Foggy,Morning,Moderate
South Roger,East Aaronchester,2,95.61,136.48,129.5,Cloudy,Afternoon,Light
Kingchester,Angelburgh,0,199.97,274.66,265.53,Rainy,Evening,Heavy
Walkerland,South Nicole,0,80.07,111.44,121.56,Foggy,Night,Heavy
Jasonberg,New Leslie,2,158.63,186.23,179.75,Foggy,Afternoon,Light
South Deannaberg,Randyside,1,21.5,26.15,25.02,Cloudy,Evening,Light
Howardhaven,Gonzalezberg,1,105.73,128.61,124.11,Clear,Morning,Heavy
South Ashley,Lake Kellyburgh,3,235.16,298.44,285.57,Rainy,Morning,Moderate
Herrerastad,East Kevin,1,453.09,549.21,602.47,Foggy,Afternoon,Heavy
Jeffreyview,Christyville,3,48.12,64.63,68.15,Rainy,Afternoon,Light
West Robert,New Alexander,3,415.75,605.91,571.67,Foggy,Morning,Heavy
Davidborough,Theresaside,0,330.31,470.97,514.16,Foggy,Morning,Moderate
West Brandy,West Lindsey,1,361.35,488.77,453.38,Cloudy,Night,Light
Berrymouth,Lake Toddport,2,209.72,230.78,214.34,Cloudy,Afternoon,Heavy
South Todd,Jessicaton,1,496.57,623.55,679.33,Foggy,Night,Heavy
Katherinetown,East Michael,3,366.94,531.99,537.47,Foggy,Night,Heavy
Combsbury,North Leeland,1,307.68,398.22,418.14,Rainy,Afternoon,Light
New Andreaside,Murphystad,2,104.83,147.69,156.44,Cloudy,Afternoon,Heavy
South Sarahshire,Robertbury,1,471.05,576.28,547.13,Rainy,Morning,Heavy
Williamsport,Julieshire,3,210.31,213.49,200.99,Rainy,Morning,Heavy
Williamborough,Bettytown,1,97.55,130.02,132.78,Rainy,Afternoon,Moderate
Jameshaven,New Jonathan,1,206.18,231.92,232.99,Cloudy,Afternoon,Moderate
South Johnmouth,Lake Amyside,3,482.18,652.25,647.78,Cloudy,Evening,Moderate
New Kristin,New Kyle,3,350.1,352.96,322.34,Clear,Night,Moderate
North Sheilaport,Timothyshire,1,191.31,270.96,271.53,Foggy,Afternoon,Moderate
Lisaview,Ginaland,3,87.02,120.72,126.71,Cloudy,Night,Heavy
South Kristenhaven,Gutierrezside,1,141.79,151.56,136.51,Rainy,Night,Light
New Anthony,Lake Raymondchester,0,180.79,201.9,204.64,Clear,Evening,Moderate
North Matthewshire,Kylechester,2,310.9,410.38,433.33,Rainy,Evening,Light
New James,New Angela,3,299.22,365.07,338.6,Cloudy,Morning,Moderate
Lake Lisaton,Romerobury,0,80.65,120.61,120.05,Foggy,Afternoon,Moderate
Dawnborough,Port Christopherfurt,3,401.55,548.36,506.26,Foggy,Evening,Light
Toniside,Lake Katherine,0,235.18,328.14,348.22,Foggy,Evening,Heavy
Port Andrewberg,Tinaberg,2,376.05,412.35,453.04,Clear,Afternoon,Light
New Williamburgh,Fordtown,0,145.92,211.59,209.39,Cloudy,Evening,Heavy
Kellershire,Peterton,3,20.19,22.32,23.96,Rainy,Morning,Light
Lake Brian,Lindafort,1,129.88,146.34,133.99,Rainy,Night,Light
Obrienton,West Philipfort,2,316.13,392.2,424.89,Foggy,Morning,Moderate
Franklinshire,South Joshua,1,302.98,329.78,351.5,Foggy,Afternoon,Light
Victoriaview,New Nicholasstad,3,301.74,393.38,396.03,Rainy,Night,Heavy
Maryfort,Parksview,2,150.33,163.07,176.04,Cloudy,Evening,Heavy
Dennisborough,Houstonport,3,11.5,13.46,12.75,Clear,Morning,Heavy
Pricemouth,Reedtown,3,493.66,600.68,618.65,Rainy,Night,Heavy
West Sharon,Martinshire,3,105.13,148.2,147.77,Cloudy,Morning,Light
Gallowayside,Andrewville,3,465.33,496.0,475.86,Rainy,Night,Moderate
North Davidview,Destinyland,0,477.24,648.11,617.57,Clear,Evening,Moderate
New Pamela,West Stanleyburgh,2,281.97,408.24,433.9,Cloudy,Morning,Moderate
Randyview,Michaelhaven,0,363.52,503.43,489.47,Cloudy,Evening,Heavy
North Jamie,Lake Gloria,1,289.45,428.19,410.06,Foggy,Afternoon,Light
Port Kimshire,Port Priscillachester,1,217.2,309.73,329.55,Clear,Evening,Moderate
Lake Codychester,East Adam,0,489.42,528.92,560.32,Cloudy,Evening,Heavy
West Cindy,South Michael,1,210.9,304.09,320.42,Clear,Afternoon,Moderate
North Brianville,Josephborough,2,347.17,514.34,541.23,Foggy,Night,Heavy
Cristianchester,West Madison,0,141.8,174.25,171.44,Cloudy,Afternoon,Moderate
Alexanderhaven,South Sarachester,0,357.64,470.83,446.19,Foggy,Evening,Heavy
Jonesstad,Brownburgh,1,294.6,416.07,387.71,Foggy,Evening,Moderate
West Bernardmouth,Lake Cynthia,1,100.45,116.59,114.85,Cloudy,Night,Heavy
Kellychester,North Megan,1,19.82,21.35,22.14,Cloudy,Afternoon,Moderate
Brownhaven,Ryanton,3,463.12,639.89,614.35,Cloudy,Evening,Moderate
East Davidshire,West Brenda,2,123.27,161.9,146.23,Cloudy,Morning,Moderate
New Brittanyside,West Timothyborough,0,41.95,46.12,47.07,Cloudy,Morning,Heavy
Poncechester,West Robertstad,3,429.55,627.91,686.79,Rainy,Morning,Light
Lake Taraport,Lake Judy,3,11.07,15.68,17.09,Foggy,Evening,Heavy
Kaitlynview,Howardside,2,141.66,155.32,141.31,Rainy,Evening,Light
New Jesus,South Brian,0,56.06,61.72,60.94,Foggy,Morning,Light
North Veronica,Williamburgh,1,306.69,351.99,344.22,Cloudy,Evening,Light
Bethanyville,Port Juliefort,1,401.12,472.39,478.47,Foggy,Morning,Moderate
Samanthaburgh,New Deborah,3,337.02,417.52,452.98,Rainy,Morning,Moderate
East Hannahtown,Seanland,1,138.97,180.66,190.38,Foggy,Afternoon,Moderate
Adamshaven,Shawside,2,270.78,381.26,380.34,Foggy,Afternoon,Light
Mezaland,East Michaelville,3,334.04,495.19,519.45,Clear,Night,Light
East Kyleborough,Heatherbury,2,110.55,111.62,111.66,Clear,Evening,Heavy
New Kenneth,East Jessicaborough,3,485.39,688.02,681.31,Clear,Evening,Moderate
New Davidbury,North Ashley,1,115.6,130.1,122.08,Rainy,Evening,Moderate
Port Juanhaven,North Ryan,2,35.63,37.61,37.27,Rainy,Morning,Light
Saundersville,Brooksborough,1,385.23,553.86,549.48,Rainy,Morning,Light
Nicholsonville,Rachaelbury,2,10.86,11.29,10.47,Cloudy,Evening,Light
South Bethport,Christinaside,1,375.77,452.62,418.81,Foggy,Evening,Heavy
South Tammyville,West Brandon,3,404.81,460.55,492.16,Cloudy,Evening,Light
South Elizabeth,North Jessicaville,2,320.54,392.34,366.98,Foggy,Afternoon,Moderate
Victorborough,West Stevenland,0,367.22,374.17,369.32,Foggy,Night,Heavy
Parkerburgh,South Jamieton,3,155.12,168.96,180.69,Cloudy,Night,Moderate
West Anthonyfurt,East Jacksonmouth,1,441.46,457.14,487.51,Foggy,Night,Heavy
New Shelleyland,Sanchezfurt,1,250.84,276.02,261.36,Foggy,Afternoon,Light
Dylanberg,Masonberg,1,112.64,115.61,116.41,Cloudy,Morning,Light
Davidfurt,North Jenniferport,0,39.61,40.12,42.85,Clear,Afternoon,Moderate
New Jadeberg,East Danielle,1,447.46,624.3,655.36,Cloudy,Afternoon,Light
Mariahview,West Bethany,1,82.42,84.66,92.05,Rainy,Morning,Moderate
Adambury,Lloydhaven,2,128.35,156.99,145.27,Clear,Evening,Heavy
New Julie,Elizabethburgh,3,201.8,296.21,310.71,Cloudy,Afternoon,Moderate
New Matthewbury,East Julie,1,427.52,497.71,490.46,Foggy,Evening,Moderate
Riceport,Watkinsbury,3,82.19,87.78,87.28,Clear,Afternoon,Light
Port James,Danielleborough,1,293.1,429.98,399.08,Cloudy,Afternoon,Heavy
New Mirandaberg,South Bryce,1,310.35,440.59,449.99,Cloudy,Afternoon,Heavy
Vargasville,Hectorburgh,1,222.76,229.92,218.05,Rainy,Afternoon,Moderate
Bendertown,West Tammyside,1,418.3,597.76,640.68,Rainy,Night,Light
East Joseside,Philipmouth,0,197.25,271.59,265.07,Rainy,Afternoon,Heavy
Andersonbury,South Danielland,3,143.96,205.98,226.14,Rainy,Evening,Light
New Yvetteland,Conradchester,0,131.85,173.45,174.2,Foggy,Morning,Light
South Linda,New Anthony,2,207.97,281.69,269.65,Cloudy,Afternoon,Light
Port Stacy,Port Zacharyland,3,406.64,511.39,469.21,Foggy,Morning,Light
Lake Danielstad,South Jennyville,1,268.55,357.63,352.85,Cloudy,Morning,Moderate
Scottberg,Port Stacy,2,169.45,178.98,164.63,Cloudy,Afternoon,Light
Christopherberg,Newtonberg,2,18.48,22.67,22.97,Cloudy,Evening,Light
Amytown,New James,3,229.59,344.12,372.97,Cloudy,Evening,Light
Wadeburgh,Greenchester,3,496.95,563.6,527.34,Foggy,Evening,Heavy
South Jorgemouth,Emilyfort,3,469.39,690.19,627.86,Foggy,Afternoon,Light
Andrewfurt,Cynthiaville,0,25.83,34.62,35.11,Foggy,Afternoon,Moderate
Dixonland,North Mirandatown,3,381.55,502.47,510.47,Foggy,Morning,Light
West Annmouth,North Rebeccaberg,3,144.12,213.59,232.76,Rainy,Morning,Moderate
New Jeffreyport,Victoriaside,2,184.58,195.45,211.23,Foggy,Afternoon,Light
North Allenton,Lake Ricardo,3,85.27,114.86,122.99,Rainy,Afternoon,Moderate
Port Denisehaven,East Robert,0,183.94,228.62,234.67,Foggy,Morning,Light
New Daniel,Matthewshire,1,67.94,92.03,97.58,Cloudy,Afternoon,Heavy
West Jesusberg,West Michelefurt,3,57.7,85.19,87.3,Rainy,Afternoon,Light
West Abigail,Lake Sally,0,104.2,121.06,115.95,Cloudy,Night,Moderate
Port Marymouth,South Belinda,3,92.8,115.76,123.54,Cloudy,Evening,Heavy
Donaldside,South Elizabeth,3,228.04,315.84,326.55,Rainy,Evening,Light
Brianville,Kathrynborough,1,103.38,104.85,113.03,Clear,Afternoon,Heavy
East Justinville,Fosterville,2,399.79,468.44,423.02,Clear,Morning,Moderate
New Charlesfort,Joshuaside,0,135.44,183.46,182.84,Cloudy,Evening,Light
Sextonburgh,Reynoldsfurt,2,388.1,486.3,505.4,Foggy,Night,Heavy
South Matthew,Christopherfort,2,338.2,466.28,479.44,Rainy,Evening,Moderate
Turnerbury,Fullerborough,2,463.69,684.48,643.16,Clear,Morning,Light
North Paul,Justinmouth,0,143.33,203.82,212.76,Foggy,Night,Light
North Christine,Brookefurt,3,47.14,67.26,70.73,Clear,Evening,Heavy
Harveyport,Lake Alexis,1,261.54,334.86,343.6,Rainy,Evening,Moderate
East Fred,Mckaymouth,2,486.5,625.8,616.51,Rainy,Morning,Heavy
Christopherbury,West Jasonchester,1,142.47,207.07,191.49,Foggy,Morning,Heavy
Port Thomas,Robertsontown,3,304.79,376.67,403.78,Clear,Morning,Heavy
Candiceville,Landryville,0,229.02,262.83,265.32,Rainy,Afternoon,Moderate
Lake David,Diazville,2,355.85,530.06,508.98,Rainy,Evening,Heavy
East Julianborough,Port Melissa,0,269.11,313.66,335.65,Clear,Night,Moderate
Amandafurt,East Randy,1,205.29,252.85,264.23,Foggy,Night,Moderate
Callahanberg,Harristown,2,194.58,212.92,224.61,Cloudy,Afternoon,Heavy
South Jacobborough,Jessicamouth,1,446.54,525.47,552.68,Cloudy,Night,Light
Colemanton,South Danielmouth,0,229.31,286.37,306.81,Rainy,Morning,Moderate
New Paulmouth,South Christopher,1,425.08,578.41,554.69,Rainy,Morning,Light
Dylanshire,Andersonville,3,445.9,478.21,434.92,Clear,Afternoon,Light
Wheelerhaven,Michaelview,3,355.18,360.59,345.73,Rainy,Morning,Heavy
Oconnormouth,North Timothyview,3,272.56,374.71,351.85,Cloudy,Morning,Heavy
East Davidberg,Robertsonfort,2,303.99,349.11,352.34,Clear,Night,Heavy
Port Jamesburgh,Vincentberg,0,224.15,312.29,296.01,Clear,Morning,Moderate
Carrollbury,Port Alanhaven,1,21.38,31.39,34.51,Foggy,Morning,Moderate
Taylorchester,New Holly,0,457.09,463.92,474.63,Cloudy,Afternoon,Moderate
North Matthew,North Benjaminville,3,420.23,472.64,464.94,Cloudy,Evening,Light
Shannonton,South Emily,3,23.65,28.61,30.91,Foggy,Evening,Moderate
Cochranland,North Kendraton,1,209.62,291.17,283.32,Clear,Afternoon,Heavy
Justinville,New Codyfurt,0,391.03,506.79,527.77,Rainy,Evening,Moderate
Daltonview,New Connieberg,1,282.13,350.11,353.0,Rainy,Evening,Moderate
Webbstad,Meganborough,1,238.01,321.66,342.42,Cloudy,Afternoon,Moderate
East Tony,Lake Emilyport,1,394.96,565.24,512.92,Cloudy,Night,Moderate
Port Timothy,Port Deborahmouth,2,439.15,442.41,404.4,Rainy,Afternoon,Moderate
South Amandaborough,Lake Georgeport,3,426.63,558.66,582.82,Cloudy,Evening,Heavy
Angelashire,Timothymouth,3,470.92,697.44,667.57,Clear,Morning,Moderate
West Jennifer,Lake Angieshire,0,120.2,158.38,167.76,Foggy,Morning,Moderate
East Zachary,Hillfort,3,446.56,605.44,642.71,Clear,Night,Heavy
West Scottton,South Brianna,0,397.22,560.75,571.19,Rainy,Evening,Heavy
South Renee,Foleymouth,3,55.29,69.78,66.42,Cloudy,Morning,Light
Vancehaven,South Stephanieborough,3,191.68,263.53,268.11,Foggy,Morning,Moderate
Jasonland,Hughesside,3,309.24,438.32,429.07,Foggy,Night,Light
Lake Amy,Ruizbury,3,432.12,620.42,597.2,Cloudy,Night,Moderate
Robertston,Lake Jessica,0,44.72,45.46,42.96,Rainy,Afternoon,Light
East Katherine,Cartermouth,3,272.19,276.8,270.23,Rainy,Evening,Light
North Arieltown,New Francisco,0,419.99,476.61,511.74,Rainy,Afternoon,Heavy
New Williamburgh,Wandaborough,0,472.62,621.37,640.15,Rainy,Evening,Heavy
Wuhaven,Harrytown,1,26.33,27.79,30.4,Rainy,Afternoon,Moderate
West Adam,Paulstad,3,340.91,435.59,441.6,Foggy,Morning,Moderate
East Sandra,Victoriamouth,2,355.1,481.47,505.89,Cloudy,Night,Moderate
West Davidtown,Baileyshire,1,13.66,15.73,15.97,Clear,Night,Heavy
West Colinton,Johnsborough,0,243.96,294.96,281.12,Rainy,Evening,Light
Hallhaven,Maxwellbury,0,278.76,289.37,296.21,Cloudy,Evening,Moderate
Raymondmouth,Denniston,2,437.05,643.55,593.86,Foggy,Night,Light
South William,Lake Kennethton,3,132.97,193.93,188.35,Cloudy,Afternoon,Moderate
Ericfurt,Port Mary,3,424.3,623.87,592.78,Cloudy,Afternoon,Light
Jeffreyshire,Lake Jason,1,226.86,248.48,259.54,Clear,Evening,Moderate
West Markbury,Bellstad,2,279.42,408.57,423.5,Cloudy,Evening,Light
Jonathanside,Lake Teresaborough,0,373.42,526.32,563.36,Clear,Morning,Heavy
West Frank,New James,3,56.95,58.65,53.81,Clear,Morning,Heavy
Josephmouth,North Allen,2,439.57,629.37,656.73,Foggy,Morning,Heavy
East Carlburgh,South Anna,2,396.59,451.21,451.76,Foggy,Morning,Moderate
Michaelhaven,South Monicabury,3,344.04,488.18,477.27,Clear,Morning,Moderate
Reyesport,East Nicholas,3,181.1,241.14,252.09,Rainy,Afternoon,Moderate
Port Tanner,Carrillochester,0,239.69,259.18,240.56,Cloudy,Morning,Light
Sarahborough,Lindamouth,0,498.91,560.42,580.08,Foggy,Evening,Heavy
West Spencer,East Mariastad,3,152.94,208.2,191.85,Foggy,Morning,Moderate
New Anna,Lake Joshuafort,3,426.89,545.68,495.93,Rainy,Night,Light
West Patriciaport,Teresaberg,1,354.64,426.97,438.48,Cloudy,Afternoon,Light
Valentinehaven,West Davidmouth,0,400.92,512.4,562.15,Clear,Afternoon,Moderate
Andersonmouth,Port Sarahton,0,455.11,616.42,655.2,Rainy,Afternoon,Moderate
Haydenton,Robertton,3,156.29,179.27,187.86,Clear,Night,Light
East Tamara,Padillastad,2,362.5,472.25,467.75,Cloudy,Morning,Heavy
Medinaborough,Emilyport,2,44.91,62.56,57.03,Cloudy,Morning,Moderate
New Robert,Jacobsville,2,119.5,138.13,141.24,Foggy,Morning,Moderate
Port Samantha,Williamsland,2,329.65,354.31,355.77,Cloudy,Afternoon,Moderate
Donaldville,Jacobsville,3,365.21,371.02,347.86,Rainy,Night,Light
Lake Thomastown,Port Andrewfurt,2,416.11,545.15,575.53,Rainy,Evening,Light
Smithchester,New Kevinberg,1,350.75,429.71,404.97,Cloudy,Night,Moderate
Danielhaven,New Michael,3,299.5,388.58,423.22,Rainy,Night,Moderate
South Anita,New Randallmouth,0,87.59,111.68,122.03,Foggy,Night,Heavy
Danielberg,Francisborough,2,228.95,262.56,277.51,Cloudy,Morning,Heavy
West Andrewville,Port Bruce,1,295.27,305.63,317.09,Cloudy,Morning,Light
East Miguelstad,West Jennifer,3,399.38,455.23,410.09,Cloudy,Morning,Heavy
New William,Wrightburgh,2,477.87,673.07,739.08,Cloudy,Evening,Moderate
Lake Heather,Millerhaven,1,353.81,455.19,483.76,Cloudy,Evening,Heavy
Josephville,Brittanyside,1,186.25,202.8,202.93,Clear,Afternoon,Moderate
Heathertown,Andradeburgh,1,355.37,525.31,503.25,Clear,Evening,Heavy
Stephanieville,Reedfort,3,235.53,327.18,331.57,Foggy,Morning,Light
Port Sherryville,Port Michael,2,134.97,192.4,197.9,Rainy,Night,Heavy
Tammymouth,Jamestown,3,462.72,577.37,536.9,Foggy,Night,Heavy
New Nicholas,West Sharonborough,3,125.21,136.08,138.63,Rainy,Afternoon,Heavy
East Anita,Smithmouth,3,256.07,315.69,326.97,Rainy,Morning,Moderate
New Ryan,Lopezborough,2,212.32,273.51,264.82,Foggy,Morning,Light
Port Diane,Port Jamie,2,106.18,131.18,131.42,Rainy,Afternoon,Light
East Jonathanfort,Hannahberg,0,447.89,542.43,573.83,Foggy,Afternoon,Light
North Richardside,South Karaville,2,438.3,636.88,583.73,Cloudy,Afternoon,Heavy
Mitchellton,South Daniel,2,311.31,393.5,363.64,Cloudy,Evening,Moderate
Kellyton,Andrestown,0,136.01,190.37,187.41,Cloudy,Night,Moderate
North Michelle,Ferrellmouth,1,249.54,344.12,359.71,Clear,Morning,Moderate
South Phillipfurt,East Paula,3,414.57,457.54,468.04,Foggy,Afternoon,Heavy
Lake Sabrinaburgh,East Nancy,1,311.29,421.42,443.22,Cloudy,Night,Moderate
Annburgh,South Raymondtown,1,334.47,484.45,528.38,Cloudy,Afternoon,Light
South Jacqueline,North Ginastad,2,340.15,453.16,411.56,Clear,Evening,Moderate
South Alexander,Robbinsmouth,2,84.44,103.74,100.47,Cloudy,Night,Light
Staceybury,Lake Timothy,1,50.91,59.58,62.41,Cloudy,Evening,Moderate
Christopherburgh,New Ronaldmouth,1,188.66,214.39,204.67,Foggy,Evening,Light
South Christinamouth,Megantown,2,169.56,227.79,242.11,Clear,Afternoon,Moderate
Port Justinstad,South Lisa,2,90.41,118.87,111.23,Rainy,Evening,Light
Dorothybury,Jaredport,2,44.01,54.93,55.08,Cloudy,Night,Heavy
Frenchmouth,Amyshire,0,34.94,51.96,55.93,Rainy,Morning,Moderate
Teresamouth,North Marioville,3,77.48,97.77,103.06,Rainy,Morning,Moderate
South Benjamin,West Robert,2,400.88,484.19,469.46,Rainy,Evening,Moderate
East Manuelfurt,South Amandaland,1,260.46,290.98,266.49,Foggy,Morning,Heavy
Barbaraland,Annaberg,1,432.77,519.71,531.95,Rainy,Morning,Moderate
Ramseyberg,East Judychester,3,51.25,74.0,70.9,Clear,Afternoon,Light
Kimberlymouth,West Chad,1,96.16,112.0,121.32,Clear,Evening,Light
South Anita,North Lisa,2,422.72,577.22,617.23,Cloudy,Evening,Heavy
Elizabethport,North Andrew,0,356.09,487.17,518.01,Rainy,Evening,Light
Wrightchester,Carrietown,1,476.58,548.58,601.37,Clear,Evening,Moderate
South Melissa,Christopherfurt,3,474.83,711.16,776.08,Clear,Afternoon,Light
Stephenfort,East Michaeltown,3,498.62,733.8,752.14,Clear,Night,Moderate
Holderview,Aliciaside,0,120.98,135.16,131.32,Foggy,Afternoon,Moderate
East Pamela,Lake Marissaview,2,153.8,169.74,159.55,Cloudy,Evening,Heavy
Jenniferport,Darrellshire,2,345.15,385.63,370.33,Cloudy,Night,Moderate
South Annette,Rhondaville,0,351.13,502.74,460.87,Rainy,Morning,Light
East Joshuafort,New Garyview,2,357.92,470.63,440.74,Clear,Evening,Heavy
Jessicamouth,Kingstad,1,364.04,490.26,492.27,Foggy,Evening,Moderate
Michaelmouth,North Michelleton,3,100.78,133.51,134.0,Rainy,Night,Light
Parrishville,Sarahchester,1,204.17,299.55,277.82,Rainy,Morning,Moderate
South Mark,West Christopherport,3,483.68,695.42,727.96,Foggy,Night,Light
West Michael,Tammyfort,1,343.09,474.54,459.56,Cloudy,Night,Heavy
West Keith,North Michelleland,1,205.9,236.75,225.05,Rainy,Night,Moderate
Joyfurt,Jessicatown,1,193.58,282.95,279.27,Cloudy,Evening,Light
Barbaraburgh,Hallview,3,334.34,335.77,364.79,Foggy,Evening,Light
Whitemouth,Francoland,3,118.1,157.28,145.92,Foggy,Morning,Moderate
East Kristinabury,Lake Ericaview,3,386.25,470.09,460.12,Cloudy,Evening,Heavy
South Williamtown,East Stephen,3,141.06,191.68,198.14,Clear,Night,Light
Taylorside,Anthonyport,1,204.2,253.8,244.65,Rainy,Night,Moderate
Lake Jerome,South Austin,2,213.54,276.07,262.93,Foggy,Morning,Heavy
North Richard,Harpershire,2,409.96,460.06,450.11,Clear,Night,Heavy
Danielton,Port Edward,2,45.7,62.89,68.53,Foggy,Night,Moderate
Pattersontown,North Eric,2,343.66,385.42,372.23,Rainy,Evening,Moderate
Greentown,Jenkinsmouth,0,227.24,242.5,235.52,Cloudy,Evening,Moderate
Bryanbury,Esparzashire,0,308.92,386.02,350.54,Foggy,Night,Moderate
Terrellland,Port William,2,381.26,522.9,480.17,Foggy,Morning,Heavy
Mooreton,Davidfort,3,202.81,211.05,208.59,Clear,Evening,Moderate
Millerfort,Tracyview,0,38.95,47.07,50.8,Foggy,Afternoon,Heavy
Baileyburgh,Underwoodstad,2,106.55,109.59,119.18,Clear,Afternoon,Light
Lake Abigail,Port Christianbury,0,345.46,357.42,323.06,Foggy,Morning,Moderate
South Jonathanview,Youngstad,2,407.1,479.88,498.29,Clear,Morning,Light
North Matthewfort,Briannaton,1,323.55,331.37,354.21,Foggy,Evening,Moderate
Hammondton,Daughertyburgh,2,456.92,572.11,571.25,Clear,Night,Heavy
South Ericaville,Fergusonland,2,263.51,330.11,315.33,Cloudy,Evening,Heavy
New Phillipfurt,West Thomas,1,442.0,595.85,649.35,Rainy,Morning,Heavy
West Joshua,New Aaronside,0,185.93,198.17,215.42,Foggy,Evening,Moderate
Sheilaburgh,Port Jamesmouth,0,146.8,200.34,199.03,Rainy,Night,Moderate
Knightton,Barkerview,2,126.61,175.59,187.5,Foggy,Afternoon,Moderate
Timothyfort,Jamesbury,2,346.56,368.46,348.76,Cloudy,Morning,Moderate
North Duanefurt,Fuentesside,3,109.77,162.28,174.94,Rainy,Morning,Light
Wrightfort,West Joel,2,179.96,263.61,277.9,Cloudy,Evening,Light
South Rachel,Byrdchester,3,180.44,222.31,205.72,Foggy,Morning,Light
Yatesside,Port Sydneyland,2,344.95,457.14,475.54,Clear,Morning,Moderate
Josephburgh,East Sabrinaport,3,317.13,412.86,429.23,Rainy,Evening,Light
North Thomaschester,Schmittland,2,446.86,620.71,664.33,Foggy,Morning,Moderate
Kevinland,New Melissa,2,349.33,416.22,416.06,Clear,Morning,Heavy
South Nathanfurt,Port Kenneth,0,189.96,275.2,264.47,Cloudy,Afternoon,Moderate
Hendersonborough,South Christineberg,3,375.27,473.1,458.99,Clear,Afternoon,Light
Davidton,East Michaelview,2,401.95,411.3,430.06,Cloudy,Morning,Heavy
Port Stephanieville,Port Davidberg,0,244.87,267.82,243.23,Foggy,Morning,Light
Adamville,Stevenbury,3,38.54,42.87,45.9,Rainy,Night,Light
Collinmouth,North Mitchellhaven,3,279.14,368.75,370.54,Foggy,Evening,Heavy
Collinstown,Whitneyport,3,285.76,418.94,381.12,Cloudy,Night,Heavy
New Williamshire,Camerontown,2,438.27,645.85,634.16,Clear,Morning,Moderate
Lintown,Port Patriciaton,1,323.26,338.11,310.91,Clear,Morning,Heavy
Port Donnamouth,Port Anthonychester,3,461.63,484.57,494.17,Rainy,Evening,Moderate
Wilkinstown,South Leslie,1,187.51,228.82,217.03,Clear,Evening,Light
Ochoaport,Jorgemouth,3,238.37,282.49,286.27,Foggy,Morning,Heavy
East Madeline,Tonyview,0,42.73,46.36,50.48,Rainy,Evening,Moderate
East Johnhaven,Jodifurt,0,380.78,469.15,460.61,Cloudy,Evening,Light
